Ticker,Country,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
CSX,1,0,0,0,0,0,0,0,1,0,0,0
CTAS,1,0,0,0,0,0,0,0,1,0,0,0
CTRA,1,0,0,0,0,1,0,0,0,0,0,0
CTSH,1,0,0,0,0,0,0,0,0,0,1,0
CVS,1,0,0,0,0,0,0,1,0,0,0,0
CVX,1,0,0,0,0,1,0,0,0,0,0,0
CZR,1,0,0,1,0,0,0,0,0,0,0,0
D,1,0,0,0,0,0,0,0,0,0,0,1
DAL,1,0,0,0,0,0,0,0,1,0,0,0
DD,1,1,0,0,0,0,0,0,0,0,0,0
DE,1,0,0,0,0,0,0,0,1,0,0,0
DECK,1,0,0,1,0,0,0,0,0,0,0,0
DFS,1,0,0,0,0,0,1,0,0,0,0,0
DG,1,0,0,0,1,0,0,0,0,0,0,0
DGX,1,0,0,0,0,0,0,1,0,0,0,0
DHI,1,0,0,1,0,0,0,0,0,0,0,0
DHR,1,0,0,0,0,0,0,1,0,0,0,0
DIS,1,0,1,0,0,0,0,0,0,0,0,0
DLR,1,0,0,0,0,0,0,0,0,1,0,0
DLTR,1,0,0,0,1,0,0,0,0,0,0,0
DOC,1,0,0,0,0,0,0,0,0,1,0,0
DOV,1,0,0,0,0,0,0,0,1,0,0,0
DPZ,1,0,0,1,0,0,0,0,0,0,0,0
DRI,1,0,0,1,0,0,0,0,0,0,0,0
DTE,1,0,0,0,0,0,0,0,0,0,0,1
DUK,1,0,0,0,0,0,0,0,0,0,0,1
DVA,1,0,0,0,0,0,0,1,0,0,0,0
DVN,1,0,0,0,0,1,0,0,0,0,0,0
DXCM,1,0,0,0,0,0,0,1,0,0,0,0
EA,1,0,1,0,0,0,0,0,0,0,0,0
EBAY,1,0,0,1,0,0,0,0,0,0,0,0
ECL,1,1,0,0,0,0,0,0,0,0,0,0
ED,1,0,0,0,0,0,0,0,0,0,0,1
EFX,1,0,0,0,0,0,0,0,1,0,0,0
EG,1,0,0,0,0,0,1,0,0,0,0,0
EIX,1,0,0,0,0,0,0,0,0,0,0,1
EL,1,0,0,0,1,0,0,0,0,0,0,0
ELV,1,0,0,0,0,0,0,1,0,0,0,0
EMN,1,1,0,0,0,0,0,0,0,0,0,0
